Tanggal,Tn,Tx,Tavg,RH_avg,RR,ff_avg
2019-06-17,25,33.2,29.3,72,0,1
2019-06-18,25,33.4,28.8,70,0,1
2019-06-19,25,34.4,29.5,72,0,1
2019-06-20,27,34.4,29.6,66,0,1
2019-06-21,26,33.2,28.6,72,0,1
2019-06-22,26,32.2,28.5,71,0,1
2019-06-23,26,32.4,28.9,72,0,2
2019-06-24,25,33.4,29.2,69,0,1
2019-06-25,25,34.2,29.1,67,0,2
2019-06-26,26,33.6,29.1,67,0,1
2019-06-27,25,33.2,28.4,72,0,1
2019-06-28,26,33.4,29.1,69,0,1
2019-06-29,25,33.4,28.7,66,0,1
2019-06-30,26,33.6,28.8,65,0,1
2019-07-01,26,33.4,28.7,70,0,1
2019-07-02,25,33,28.7,68,0,1
2019-07-03,26,33.4,28.8,72,0,1
2019-07-04,26,32.4,29,75,0,1
2019-07-05,25,33,29.5,70,0,1
2019-07-06,25,33.6,29.3,72,0,1
2019-07-07,27,33.2,29.2,72,0,2
2019-07-08,26,33.8,29,72,0,2
2019-07-09,26,33.2,28.7,75,0,1
2019-07-10,25,32.4,27.9,76,0,2
2019-07-11,25,32.8,28.4,68,0,1
2019-07-12,26,33.4,29.4,61,0,1
2019-07-13,26,32.4,28.3,70,0,2
2019-07-14,26,31.4,28.2,68,0,1
2019-07-15,24,31.6,27.4,66,0,1
2019-07-16,25,32.2,28.1,64,0,1
2019-07-17,24,32.4,27.4,64,0,1
2019-07-18,24,33.4,28.1,62,0,1
2019-07-19,25,34,29.9,62,0,1
2019-07-20,27,32.8,29.8,68,0,2
2019-07-21,27,33.4,29.2,68,0,1
2019-07-22,27,32.2,29.3,72,0,1
2019-07-23,26,33.6,29,59,0,2
2019-07-24,26,33,29.3,60,0,1
2019-07-25,25,32.4,28.5,68,0,2
2019-07-26,25,32.6,28.2,70,0,2
2019-07-27,26,32.4,28.2,72,0,1
2019-07-28,25,31.8,28.7,71,0,1
2019-07-29,27,31.4,28.6,74,0,1
2019-07-30,26,32.6,28.5,69,0,1
2019-07-31,25,34,28.8,65,0,1
2019-08-01,25,33.2,28.1,66,0,2
2019-08-02,25,32.4,28.4,70,0,2
2019-08-03,25,32.2,28.3,70,0,1
2019-08-04,25,33.4,28.1,62,0,1
2019-08-05,25,31.8,28,68,0,2
2019-08-06,24,31.2,26.6,60,0,1
2019-08-07,24,33.2,27.8,61,0,1
2019-08-08,25,31.8,27.7,63,0,1
2019-08-09,24,31.8,27.5,72,0,2
2019-08-10,25,32,27.9,70,0,1
2019-08-11,25,32.4,27.9,71,0,2
2019-08-12,26,33.4,28.6,66,0,1
2019-08-13,25,33.4,29,70,0,2
2019-08-14,26,32.4,28.6,73,0,2
2019-08-15,26,32,28.6,74,0,2
2019-08-16,27,32,28.6,71,0,1
2019-08-17,27,32.4,28.9,72,0,2
